tsymbol,sho_pilot,sector
JJSF,1,Consumer Defensive
PLXS,1,Technology
ORCL,1,Technology
MSFT,0,Technology
HON,0,Industrials
FO,0,Sector not available
ASTE,1,Industrials
WERN,0,Industrials
T,0,Communication Services
IRN,0,Sector not available
SKYW,0,Industrials
AMWD,0,Consumer Cyclical
ADM,0,Consumer Defensive
WTS,0,Industrials
PTSI,0,Industrials
HTLD,1,Industrials
OSUR,1,Healthcare
BC,1,Consumer Cyclical
UIS,0,Technology
CMVT,0,Sector not available
NWK,0,Sector not available
AVD,0,Basic Materials
PLAB,1,Technology
CRMT,0,Consumer Cyclical
KO,1,Consumer Defensive
SKS,0,Sector not available
CDN,0,Sector not available
BRL,1,Sector not available
CNMD,1,Healthcare
XRAY,0,Healthcare
FAST,0,Industrials
CRK,0,Energy
IMKTA,1,Consumer Defensive
DD,0,Basic Materials
AIN,0,Consumer Cyclical
ETN,0,Industrials
ALCO,0,Consumer Defensive
XOM,0,Energy
IPAR,0,Consumer Defensive
COKE,1,Consumer Defensive
DY,0,Industrials
GD,0,Industrials
GE,0,Industrials
LH,0,Healthcare
GR,0,Sector not available
GNCMA,0,Sector not available
LNN,0,Industrials
MGPI,0,Consumer Defensive
IBM,0,Technology
ITT,0,Industrials
NL,0,Industrials
OLN,0,Basic Materials
PEP,1,Consumer Defensive
MO,0,Consumer Defensive
COP,1,Energy
PVH,1,Consumer Cyclical
AMGN,0,Healthcare
ALOG,1,Sector not available
ANEN,1,Sector not available
APOG,1,Industrials
CVX,0,Energy
AAPL,0,Technology
AMAT,0,Technology
TKR,1,Industrials
TR,1,Consumer Defensive
ARDNA,0,Sector not available
MRO,1,Energy
VMC,0,Basic Materials
FL,1,Consumer Cyclical
TXN,1,Technology
GT,1,Consumer Cyclical
UVV,1,Consumer Defensive
HSY,1,Consumer Defensive
KR,1,Consumer Defensive
BN,0,Financial Services
CVS,0,Healthcare
BSET,0,Consumer Cyclical
GIS,0,Consumer Defensive
CCK,0,Consumer Cyclical
KMB,0,Consumer Defensive
CW,0,Industrials
PG,0,Consumer Defensive
CAT,0,Industrials
BCO,0,Industrials
CL,1,Consumer Defensive
BRC,0,Industrials
FMC,0,Basic Materials
DE,0,Industrials
BMY,0,Healthcare
BA,0,Industrials
SOHU,0,Communication Services
VVI,0,Industrials
MTZ,0,Industrials
BDK,0,Sector not available
ABT,1,Healthcare
CACH,1,Consumer Cyclical
CALM,1,Consumer Defensive
CRS,1,Industrials
GCO,1,Consumer Cyclical
LMT,0,Industrials
NEM,0,Basic Materials
CAH,1,Healthcare
IP,0,Consumer Cyclical
CAE,0,Industrials
CASY,1,Consumer Cyclical
PFE,1,Healthcare
EMR,0,Industrials
JNJ,1,Healthcare
GLW,1,Technology
CRDN,0,Sector not available
PPG,0,Basic Materials
MMM,0,Industrials
MRK,0,Healthcare
HNZ,0,Sector not available
EAT,0,Consumer Cyclical
CHD,0,Consumer Defensive
TXT,1,Industrials
CTAS,0,Industrials
HAL,0,Energy
ROH,1,Sector not available
CCU,1,Consumer Defensive
ASH,0,Basic Materials
CDE,1,Basic Materials
PBI,1,Industrials
COHR,0,Technology
AA,0,Basic Materials
NOC,0,Industrials
